| Communications | Congo, Democratic Republic of the |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 0 NA |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
| Telephones - mobile cellular: | total subscriptions: 42,166,976 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 42.77 (2019 est.) |
| Telecommunication systems: | general assessment: poorly developed national and international infrastructure; bandwidth is limited; Internet pricing isÂ expensive;Â domestic satellite system with 14 earth stations;Â wars and social upheaval have not promoted advancement; a revised Telecommunications Act adopted in May 2018; govt. only loosely regulates the telecom sector, much of the investment is from donor countries (specifically China) (2020) |
| Telecommunication systems: | domestic: fixed-line connections less than 1 per 100 persons; given the backdrop of a wholly inadequate fixed-line infrastructure, the use of mobile-cellular services is over 43 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 243; ACE and WACS submarine cables to West and South Africa andÂ Europe;Â satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned TV broadcast station with near national coverage; more than a dozen privately owned TV stations - 2 with near national coverage; 2 state-owned radio stations are supplemented by more than 100 private radio stations; transmissions of at least 2 international broadcasters are available |
| Internet country code: | .cd |
| Internet users: | total: 8,231,357 |
| Internet users: | percent of population: 8.62% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 4,620 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
