| Communications | BULGARIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.8 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 25 (2014 est.) |
| Telephones - mobile cellular: | total: 9.9 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 137 (2014 est.) |
| Telephone system: | general assessment: inherited an extensive but antiquated telecommunications network from the Soviet era; quality has improved with a modern digital trunk line now connecting switching centers in most of the regions; remaining areas are connected by digital microwave radio relay |
| Telephone system: | domestic: the Bulgaria Telecommunications Company's fixed-line monopoly terminated in 2005 in an effort to upgrade fixed-line services; mobile-cellular teledensity, fostered by multiple service providers, has reached 150 telephones per 100 persons |
| Telephone system: | international: country code - 359; submarine cable provides connectivity to Ukraine and Russia; a combination submarine cable and land fiber-optic system provides connectivity to Italy, Albania, and Macedonia; satellite earth stations - 3 (1 Intersputnik in the Atlantic Ocean region, 2 Intelsat in the Atlantic and Indian Ocean regions) (2011) |
| Broadcast media: | 4 national terrestrial TV stations with 1 state-owned and 3 privately owned; a vast array of TV stations are available from cable and satellite TV providers; state-owned national radio broadcasts over 3 networks; large number of private radio stations broadcasting, especially in urban areas (2010) |
| Radio broadcast stations: | AM 31, FM 63, shortwave 2 (2001) |
| Television broadcast stations: | 39 (plus 1,242 repeaters) (2001) |
| Internet country code: | .bg |
| Internet users: | total: 4.1 million |
| Internet users: | percent of population: 57.0% (2014 est.) |
