| Communications | Bulgaria |
| --- | --- |
| Telephones - main lines in use: | 2.356 million (2011) |
| Telephones - mobile cellular: | 10.475 million (2011) |
| Telephone system: | general assessment: inherited an extensive but antiquated telecommunications network from the Soviet era; quality has improved with a modern digital trunk line now connecting switching centers in most of the regions; remaining areas are connected by digital microwave radio relay |
| Telephone system: | domestic: the Bulgaria Telecommunications Company's fixed-line monopoly terminated in 2005 in an effort to upgrade fixed-line services; mobile-cellular teledensity, fostered by multiple service providers, has reached 150 telephones per 100 persons |
| Telephone system: | international: country code - 359; submarine cable provides connectivity to Ukraine and Russia; a combination submarine cable and land fiber-optic system provides connectivity to Italy, Albania, and Macedonia; satellite earth stations - 3 (1 Intersputnik in the Atlantic Ocean region, 2 Intelsat in the Atlantic and Indian Ocean regions) (2011) |
| Broadcast media: | 4 national terrestrial TV stations with 1 state-owned and 3 privately-owned; a vast array of TV stations are available from cable and satellite TV providers; state-owned national radio broadcasts over 3 networks; large number of private radio stations broadcasting, especially in urban areas (2010) |
| Internet country code: | .bg |
| Internet hosts: | 976,277 (2012) |
| Internet users: | 3.395 million (2009) |
