| Communications | British Virgin Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,640 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20.88 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 72,589 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 198.38 (2019 est.) |
| Telecommunication systems: | general assessment: good overall telephone service; majorÂ expansion sectors include the mobile telephony and data segments, which continue toÂ appeal toÂ operator investment;Â several operators licensed to provide services within individual markets, most of them are small and localized; telecommunication contributes to overall GDP (2020) |
| Telecommunication systems: | domestic: fixed-line connections exceed 21 per 100 persons and mobile cellular subscribership is roughly 198 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 1-284; landing points for PCCS, ECFS, CBUS, Deep Blue Cable, East-West, PAN-AM, Americas-1, Southern Caribbean Fiber, Columbus- IIb, St Thomas - St Croix System, Taino-Carib, and Americas I- NorthÂ via submarine cable to Caribbean, Central and South America, and US (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 private TV station; multi-channel TV is available from cable and satellite subscription services; about a half-dozen private radio stations |
| Internet country code: | .vg |
| Internet users: | total: 27,818 |
| Internet users: | percent of population: 77.7% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 4,715 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 13 (2018 est.) |
