| Communications | Senegal |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 195,288 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1.27 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 16,871,654 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109.72 (2019 est.) |
| Telecommunication systems: | general assessment: mobile penetration reached 108% in March 2019; mobile broadband accounts for close to 100% (97.2%)Â Internet accesses; 3G and LTE services for 50% of population; growth in the intel market along with economic growth for the country; regulator awards more MVNO licenses, deactivated some 5 million unregistered SIM cards (2020) |
| Telecommunication systems: | domestic: generally reliable urban system with a fiber-optic network; about two-thirds of all fixed-line connections are in Dakar; mobile-cellular service is steadily displacing fixed-line service, even in urban areas; fixed-line 1 per 100 and mobile-cellular 110 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 221; landing points for the ACE, Atlantis-2, MainOne and SAT-3/WASC submarine cables providing connectivity from South Africa, numerous western African countries, Europe and South America;Â satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-run Radiodiffusion Television Senegalaise (RTS) broadcasts TV programs from five cities in Senegal; in most regions of the country, viewers can receive TV programming from at least 7 private broadcasters; a wide range of independent TV programming is available via satellite; RTS operates a national radio network and a number of regional FM stations; at least 7 community radio stations and 18 private-broadcast radio stations are available; transmissions of at least 5 international broadcasters are accessible on FM in Dakar (2019) |
| Internet country code: | .sn |
| Internet users: | total: 6,909,635 |
| Internet users: | percent of population: 46% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 129,820 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2018 est.) |
