| Communications | Jersey |
| --- | --- |
| Telephones - main lines in use: | 74,000 (2008) |
| Telephones - mobile cellular: | 83,900 (2004) |
| Telephone system: | general assessment: state owned, partially-competitive market; increasingly modern, with some broadband access |
| Telephone system: | domestic: digital telephone system launch announced in 2006 and currently being implemented; fixed-line and mobile-cellular services widely available; combined fixed and mobile-cellular density exceeds 100 per 100 persons |
| Telephone system: | international: submarine cable connectivity to Guernsey, the UK, and France (2008) |
| Radio broadcast stations: | AM NA, FM 1, shortwave 0 (UK radio broadcasts carried via local relays) (2008) |
| Television broadcast stations: | 2 (UK television carried by local relays with a switch to digital broadcasts scheduled for 2010) (2008) |
| Internet country code: | .je |
| Internet hosts: | 219 (2009) |
| Internet users: | 29,000 (2008) |
