| Communications | Netherlands |
| --- | --- |
| Telephones - main lines in use: | 7.169 million (2010) |
| Telephones - mobile cellular: | 19.31 million (2010) |
| Telephone system: | general assessment: highly developed and well maintained |
| Telephone system: | domestic: extensive fixed-line fiber-optic network; large cellular telephone system with 5 major operators utilizing the third generation of the Global System for Mobile Communications (GSM) technology; one in five households now use Voice over the Internet Protocol (VoIP) services |
| Telephone system: | international: country code - 31; submarine cables provide links to the US and Europe; satellite earth stations - 5 (3 Intelsat - 1 Indian Ocean and 2 Atlantic Ocean, 1 Eutelsat, and 1 Inmarsat (2007) |
| Broadcast media: | more than 90% of households are connected to cable or satellite TV systems that provide a wide range of domestic and foreign channels; public service broadcast system includes multiple broadcasters, 3 with a national reach and the remainder operating in regional and local markets; 2 major nationwide commercial television companies, each with 3 or more stations, and a large number of commercial TV stations in regional and local markets; nearly 600 radio stations operating with a mix of public and private stations providing national or regional coverage (2008) |
| Internet country code: | .nl |
| Internet hosts: | 12.607 million (2010) |
| Internet users: | 14.872 million (2009) |
