| Communications | SAUDI ARABIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,746,906 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 14 (July 2015 est.) |
| Telephones - mobile cellular: | total: 52.796 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 190 (July 2015 est.) |
| Telephone system: | general assessment: modern system including a combination of extensive microwave radio relays, coaxial cables, and fiber-optic cables |
| Telephone system: | domestic: mobile-cellular subscribership has been increasing rapidly |
| Telephone system: | international: country code - 966; landing point for the international submarine cable Fiber-Optic Link Around the Globe (FLAG) and for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks providing connectivity to Asia, Middle East, Europe, and US; microwave radio relay to Bahrain, Jordan, Kuwait, Qatar, UAE, Yemen, and Sudan; coaxial cable to Kuwait and Jordan; satellite earth stations - 5 Intelsat (3 Atlantic Ocean and 2 Indian Ocean), 1 Arabsat, and 1 Inmarsat (Indian Ocean region) (2015) |
| Broadcast media: | broadcast media are state-controlled; state-run TV operates 4 networks; Saudi Arabia is a major market for pan-Arab satellite TV broadcasters; state-run radio operates several networks; multiple international broadcasters are available (2007) |
| Internet country code: | .sa |
| Internet users: | total: 19.32 million |
| Internet users: | percent of population: 69.6% (July 2015 est.) |
