| Communications | Algeria |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,130,090 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 49,873,389 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 122 (2017 est.) |
| Telephone system: | general assessment: privatization of Algeria's telecommunications sector began in 2000; three mobile-cellular licenses have been issued;Â regulator permits network operators to extend LTE services to additional provinces;Â a consortium led by Egypt's Orascom Telecom won a 15-year license to build and operate a fixed-line network in Algeria; migration to 5G (2017) |
| Telephone system: | domestic: a limited network of fixed-lines with a teledensity of less than 10 telephones per 100 persons has been offset by the rapid increase in mobile-cellular subscribership; mobile-cellular teledensity was roughly 122 telephones per 100 persons (2017) |
| Telephone system: | international: country code - 213; landing point for the SEA-ME-WE-4 fiber-optic submarine cable system that provides links to Europe, the Middle East, and Asia; microwave radio relay to Italy, France, Spain, Morocco, and Tunisia; coaxial cable to Morocco and Tunisia; new submarine cables to link to the US and France; (2016) |
| Broadcast media: | state-run Radio-Television Algerienne operates the broadcast media and carries programming in Arabic, Berber dialects, and French; use of satellite dishes is widespread, providing easy access to European and Arab satellite stations; state-run radio operates several national networks and roughly 40 regional radio stations (2009) |
| Internet country code: | .dz |
| Internet users: | total: 17,291,463 (July 2016 est.) |
| Internet users: | percent of population: 42.9% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,166,907 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 8 (2017 est.) |
