| Communications | Azerbaijan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,688,325 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 10.127 million (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 102 (2017 est.) |
| Telephone system: | general assessment: more competition exists in the mobile-cellular market; Azerbaijan has moderate mobile, mobile broadband and fixed broadband penetration compared to other Asian nations;Â Pre-5GÂ network operating on the TD-LTE standardÂ  (2017) |
| Telephone system: | domestic: teledensity of some 17 fixed-lines per 100 persons; mobile-cellular teledensity has increased to 102 telephones per 100 persons; satellite service connects Baku to a modern switch in its exclave of Naxcivan (Nakhchivan) (2017) |
| Telephone system: | international: country code - 994; the Trans-Asia-Europe (TAE) fiber-optic link transits Azerbaijan providing international connectivity to neighboring countries; the old Soviet system of cable and microwave is still serviceable; satellite earth stations - 2 (2017) |
| Broadcast media: | 3 state-run and 1 public TV channels; 4 domestic commercial TV stations and about 15 regional TV stations; cable TV services are available in Baku; 1 state-run and 1 public radio network operating; a small number of private commercial radio stations broadcasting; local FM relays of Baku commercial stations are available in many localities; note - all broadcast media is pro-government, and most private broadcast media outlets are owned by entities directly linked to the government (2018) |
| Internet country code: | .az |
| Internet users: | total: 7,720,502 (July 2016 est.) |
| Internet users: | percent of population: 78.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,805,214 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 18 (2017 est.) |
