| Communications | Azerbaijan |
| --- | --- |
| Telephones - main lines in use: | 1.311 million (2008) |
| Telephones - mobile cellular: | 6.548 million (2008) |
| Telephone system: | general assessment: inadequate; requires considerable expansion and modernization; teledensity of 15 main lines per 100 persons is low; mobile-cellular penetration has increased rapidly and is currently about 80 telephones per 100 persons |
| Telephone system: | domestic: fixed-line telephony and a broad range of other telecom services are controlled by a state-owned telecommunications monopoly and growth has been stagnant; more competition exists in the mobile-cellular market with three providers in 2006; satellite service connects Baku to a modern switch in its exclave of Naxcivan |
| Telephone system: | international: country code - 994; the Trans-Asia-Europe (TAE) fiber-optic link transits Azerbaijan providing international connectivity to neighboring countries; the old Soviet system of cable and microwave is still serviceable; satellite earth stations - 2 (2008) |
| Radio broadcast stations: | AM 10, FM 17, shortwave 1 (1998) |
| Television broadcast stations: | 2 (1997) |
| Internet country code: | .az |
| Internet hosts: | 7,045 (2009) |
| Internet users: | 1.485 million (2008) |
