| Communications | Iceland |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 146,213 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 43 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 410,662 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 121 (2017 est.) |
| Telephone system: | general assessment: telecommunications infrastructure is modern and fully digitized, with satellite-earth stations, fiber-optic cables, and an extensive broadband network; LTE licenses providing 99% population coverage (2017) |
| Telephone system: | domestic: liberalization of the telecommunications sector beginning in the late 1990s has led to increased competition especially in the mobile services segment of the market; 43 per 100 for fixed line and 121 per 100 for mobile-cellular subscriptions (2017) |
| Telephone system: | international: country code - 354; the CANTAT-3 and FARICE-1 submarine cable systems provide connectivity to Canada, the Faroe Islands, UK, Denmark, and Germany; a planned new section of the Hibernia-Atlantic submarine cable will provide additional connectivity to Canada, US, and Ireland; satellite earth stations - 2 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic and Indian Ocean regions); note - Iceland shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Norway, and Sweden) |
| Broadcast media: | state-owned public TV broadcaster (RUV) operates 1 TV channel nationally; several privately owned TV stations broadcast nationally and roughly another half-dozen operate locally; about one-half of households utilize multi-channel cable or satellite TV services; state-owned public radio broadcaster operates 2 national networks and 4 regional stations; 2 privately owned radio stations operate nationally and another 15 provide more limited coverage (2007) |
| Internet country code: | .is |
| Internet users: | total: 329,967 (July 2016 est.) |
| Internet users: | percent of population: 98.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 133,574 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 39 (2017 est.) |
