| Communications | MONGOLIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 225,287 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 7 (July 2016 est.) |
| Telephones - mobile cellular: | total: 3,367,573 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 111 (July 2016 est.) |
| Telephone system: | general assessment: network is improving with international direct dialing available in many areas; a fiber-optic network has been installed that is improving broadband and communication services between major urban centers with multiple companies providing inter-city fiber-optic cable services |
| Telephone system: | domestic: very low fixed-line teledensity; there are four mobile-cellular providers and subscribership is increasing |
| Telephone system: | international: country code - 976; satellite earth stations - 7 (2016) |
| Broadcast media: | following a law passed in 2005, Mongolia's state-run radio and TV provider converted to a public service provider; also available are 69 radio and 131 TV stations, including multi-channel satellite and cable TV providers; transmissions of multiple international broadcasters are available (2017) |
| Internet country code: | .mn |
| Internet users: | total: 674,949 |
| Internet users: | percent of population: 22.3% (July 2016 est.) |
