| Communications | Mongolia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 385,191 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12.28 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,297,643 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 137.01 (2019 est.) |
| Telecommunication systems: | general assessment: liberalized and competitive telecoms market; mobile broadband seen steady growth, but fixed-line broadband is an attractive option; a fiber-optic network has been installed that is improving broadband and communication services between major urban centers with multiple companies providing inter-city fiber-optic cable services; compared to other Asian countries,Â Mongolia's growth in telecommunications is moderate; mobile broadbandÂ is growing withÂ 4 competitive MNOs (mobile network operators) along with better tariffs; 3G mobile broadband productsÂ are very popular, launch of 4G LTE services by all major operators; in May 2018 a South Korean company completed the sale of 40%Â stake back to Mongolian government (2020) |
| Telecommunication systems: | domestic: very low fixed-line teledensity 12 per 100; there are four mobile-cellular providers and subscribership is increasing with 137 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 976; satellite earth stations - 7 (2016) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | following a law passed in 2005, Mongolia's state-run radio and TV provider converted to a public service provider; also available are 68 radio and 160 TV stations, including multi-channel satellite and cable TV providers; transmissions of multiple international broadcasters are available (2019) |
| Internet country code: | .mn |
| Internet users: | total: 735,823 |
| Internet users: | percent of population: 23.71% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 306,150 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 10 (2018 est.) |
