| Communications | Saint Pierre and Miquelon |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,086 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 75.55 (2019 est.) |
| Telecommunication systems: | general assessment: adequate (2018) |
| Telecommunication systems: | domestic: fixed-line teledensity 76 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 508; landing point for the St Pierre and Miquelon Cable connecting Saint PierreÂ & Miquelon and Canada; radiotelephone communication with most countries in the world; satellite earth station - 1 in French domestic satellite system (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 2 TV stations with a third repeater station, all part of the French Overseas Network; radio stations on St. Pierre and on Miquelon are part of the French Overseas Network |
| Internet country code: | .pm |
| Internet users: | total: 4,500 |
| Internet users: | percent of population: 79.5% (July 2016 est.) |
