| Communications | Guam |
| --- | --- |
| Telephones - main lines in use: | 65,500 (2009) |
| Telephones - mobile cellular: | 98,000 (2004) |
| Telephone system: | general assessment: modern system, integrated with US facilities for direct dialing, including free use of 800 numbers |
| Telephone system: | domestic: digital system, including mobile-cellular service and local access to the Internet |
| Telephone system: | international: country code - 1-671; major landing point for submarine cables between Asia and the US (Guam is a trans-Pacific communications hub for major carriers linking the US and Asia); satellite earth stations - 2 Intelsat (Pacific Ocean) |
| Broadcast media: | about a dozen TV broadcast channels, including digital channels; multi-channel cable TV services are available; roughly 20 radio stations broadcasting (2009) |
| Internet country code: | .gu |
| Internet hosts: | 24 (2010) |
| Internet users: | 90,000 (2009) |
