| Communications | Guam |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 68,000 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 181,000 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113 (July 2016 est.) |
| Telephone system: | general assessment: modern system, integrated with US facilities for direct dialing, including free use of 800 numbers (2016) |
| Telephone system: | domestic: three major companies provide both fixed-line and mobile services, as well as access to the Internet; fixed-line 42 per 100 and 113 per 100 for mobile-cellular (2016) |
| Telephone system: | international: country code - 1-671; major landing point for submarine cables between Asia and the US (Guam is a transpacific communications hub for major carriers linking the US and Asia); satellite earth stations - 2 Intelsat (Pacific Ocean) (2016) |
| Broadcast media: | about a dozen TV channels, including digital channels; multi-channel cable TV services are available; roughly 20 radio stations (2009) |
| Internet country code: | .gu |
| Internet users: | total: 125,328 (July 2016 est.) |
| Internet users: | percent of population: 77% (July 2016 est.) |
