| Communications | GUAM |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 68,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (July 2015 est.) |
| Telephones - mobile cellular: | total: 181,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitatnts: 113 (July 2015 est.) |
| Telephone system: | general assessment: modern system, integrated with US facilities for direct dialing, including free use of 800 numbers |
| Telephone system: | domestic: digital system, including mobile-cellular service and local access to the Internet |
| Telephone system: | international: country code - 1-671; major landing point for submarine cables between Asia and the US (Guam is a transpacific communications hub for major carriers linking the US and Asia); satellite earth stations - 2 Intelsat (Pacific Ocean) (2015) |
| Broadcast media: | about a dozen TV channels, including digital channels; multi-channel cable TV services are available; roughly 20 radio stations (2009) |
| Internet country code: | .gu |
| Internet users: | total: 118,000 |
| Internet users: | percent of population: 73.1% (July 2015 est.) |
