| Communications | Macau |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 119,355 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19.55 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,108,274 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 345.33 (2019 est.) |
| Telecommunication systems: | general assessment: modern communication facilities maintained for domestic and international services;Â high mobile subscriber numbersÂ and mobile penetration with 4 network operators; offering 4G, LTE services andÂ 1st phase ofÂ 5G network rollout; possible synchronizing with neighboring regions; Macau's smart city project spans areas of transportation, medical services, tourism and 3-government (2020) |
| Telecommunication systems: | domestic: fixed-line 20 per 100 and mobile-cellular 345 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 853; landing point for the SEA-ME-WE-3 submarine cable network that provides links to Asia, Africa, Australia, the Middle East, and Europe; HF radiotelephone communication facility; satellite earth station - 1 Intelsat (Indian Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | local government dominates broadcast media; 2 television stations operated by the government with one broadcasting in Portuguese and the other in Cantonese and Mandarin; 1 cable TV and 4 satellite TV services available; 3 radio stations broadcasting, of which 2 are government-operated (2019) |
| Internet country code: | .mo |
| Internet users: | total: 508,052 |
| Internet users: | percent of population: 83.79% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 193,057 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 32 (2018 est.) |
