| Communications | KOREA, SOUTH |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 29.48 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 60 (2014 est.) |
| Telephones - mobile cellular: | total: 57.2 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 117 (2014 est.) |
| Telephone system: | general assessment: excellent domestic and international services featuring rapid incorporation of new technologies |
| Telephone system: | domestic: fixed-line and mobile-cellular services widely available with a combined telephone subscribership of roughly 170 per 100 persons; rapid assimilation of a full range of telecommunications technologies leading to a boom in e-commerce |
| Telephone system: | international: country code - 82; numerous submarine cables provide links throughout Asia, Australia, the Middle East, Europe, and US; satellite earth stations - 66 (2011) |
| Broadcast media: | multiple national TV networks with 2 of the 3 largest networks publicly operated; the largest privately owned network, Seoul Broadcasting Service (SBS), has ties with other commercial TV networks; cable and satellite TV subscription services available; publicly operated radio broadcast networks and many privately owned radio broadcasting networks, each with multiple affiliates, and independent local stations (2010) |
| Radio broadcast stations: | AM 96, FM 322, shortwave 1 (2008) |
| Television broadcast stations: | 57 (plus 103 cable operators and 119 relay cable operators) (2008) |
| Internet country code: | .kr |
| Internet users: | total: 44.9 million |
| Internet users: | percent of population: 91.5% (2014 est.) |
