| Communications | Korea, South |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 26,842,952 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 52 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 63,658,688 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 124 (2017 est.) |
| Telephone system: | general assessment: excellent domestic and international services featuring rapid incorporation of new technologies; ranked 1st out of 34 Asian telecoms; exceedingly high mobile and mobile broadband penetration and very high fixed broadband penetration; strong support from govt, savvy population has catapulted the nation into one of the world's most active telecommunication markets; 5G services to go live for enterprise customers in 2019; slower growth predicted over the next five years to 2023; Chinese telecommunications company Huawei has partnered with other MNOs in South Korea (2017) |
| Telephone system: | domestic: fixed-line 52 per 100 and mobile-cellular services 124 per 100 persons widely available; rapid assimilation of a full range of telecommunications technologies leading to a boom in e-commerce (2017) |
| Telephone system: | international: country code - 82; numerous submarine cables provide links throughout Asia, Australia, the Middle East, Europe, and US; satellite earth stations - 66 (2016) |
| Broadcast media: | multiple national TV networks with 2 of the 3 largest networks publicly operated; the largest privately owned network, Seoul Broadcasting Service (SBS), has ties with other commercial TV networks; cable and satellite TV subscription services available; publicly operated radio broadcast networks and many privately owned radio broadcasting networks, each with multiple affiliates, and independent local stations (2017) |
| Internet country code: | .kr |
| Internet users: | total: 44.153 million (July 2016 est.) |
| Internet users: | percent of population: 89.9% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 21,195,918 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 41 (2017 est.) |
