| Communications | KOREA, SOUTH |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 28,035,600 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 55 (July 2016 est.) |
| Telephones - mobile cellular: | total: 58.935 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120 (July 2016 est.) |
| Telephone system: | general assessment: excellent domestic and international services featuring rapid incorporation of new technologies |
| Telephone system: | domestic: fixed-line and mobile-cellular services widely available with the latter subscribership up to about 120 per 100 persons; rapid assimilation of a full range of telecommunications technologies leading to a boom in e-commerce |
| Telephone system: | international: country code - 82; numerous submarine cables provide links throughout Asia, Australia, the Middle East, Europe, and US; satellite earth stations - 66 (2016) |
| Broadcast media: | multiple national TV networks with 2 of the 3 largest networks publicly operated; the largest privately owned network, Seoul Broadcasting Service (SBS), has ties with other commercial TV networks; cable and satellite TV subscription services available; publicly operated radio broadcast networks and many privately owned radio broadcasting networks, each with multiple affiliates, and independent local stations (2017) |
| Internet country code: | .kr |
| Internet users: | total: 44.153 million |
| Internet users: | percent of population: 89.9% (July 2016 est.) |
