| Communications | Belgium |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,251,564 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 11,961,089 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 104 (2017 est.) |
| Telephone system: | general assessment: highly developed, technologically advanced, and completely automated domestic and international telephone and telegraph facilities; LTE availability is nearly universal in mobile sector; ongoing investments in developing applications and services for 5G; consumer are interested in quad-play services (broadband +television +telephone +wireless services)Â Â which will mean MNOs (mobile network operators) Â areÂ enhancing their fixed-line offerings (2018) |
| Telephone system: | domestic: nationwide mobile-cellular telephone system; extensive cable network; limited microwave radio relay network; 37Â per 100 fixed-line, 104Â per 100 mobile-cellular (2018) |
| Telephone system: | international: country code - 32; landing points for Concerto, UK-Belgium, Tangerine, and SeaMeWe-3, submarine cables that provide links to Europe, the Middle East, Australia and Asia; satellite earth stations - 7 (Intelsat - 3) (2019) |
| Broadcast media: | a segmented market with the three major communities (Flemish, French, and German-speaking) each having responsibility for their own broadcast media; multiple TV channels exist for each community; additionally, in excess of 90% of households are connected to cable and can access broadcasts of TV stations from neighboring countries; each community has a public radio network coexisting with private broadcasters |
| Internet country code: | .be |
| Internet users: | total: 9,870,734 |
| Internet users: | percent of population: 86.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 4,378,973 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 38 (2017 est.) |
