| Communications | Mauritania |
| --- | --- |
| Telephones - main lines in use: | 76,400 (2008) |
| Telephones - mobile cellular: | 2.092 million (2008) |
| Telephone system: | general assessment: limited system of cable and open-wire lines, minor microwave radio relay links, and radiotelephone communications stations; mobile-cellular services expanding rapidly |
| Telephone system: | domestic: Mauritel, the national telecommunications company, was privatized in 2001 but remains the monopoly provider of fixed-line services; fixed-line teledensity 2 per 100 persons; mobile-cellular network coverage extends mainly to urban areas with a teledensity of 60 per 100 persons; mostly cable and open-wire lines; a domestic satellite telecommunications system links Nouakchott with regional capitals |
| Telephone system: | international: country code - 222; satellite earth stations - 3 (1 Intelsat - Atlantic Ocean, 2 Arabsat) (2008) |
| Radio broadcast stations: | AM 1, FM 14, shortwave 1 (2001) |
| Television broadcast stations: | 1 (2002) |
| Internet country code: | .mr |
| Internet hosts: | 15 (2009) |
| Internet users: | 45,000 (2008) |
