| Communications | Kenya |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 69,861 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 42,815,109 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 90 (2017 est.) |
| Telephone system: | general assessment: |
| Telephone system: | the mobile-cellular system is generally good, especially in urban areas; fixed-line telephone system is small and inefficient; trunks are primarily microwave radio relay;Â to encourageÂ advancement of the LTEÂ services the govt. has fostered an open-access approach;Â govt. progresses with national broadband strategy; more licensing being awarded has led to competition which is good for growth |
| Telephone system: | (2018) |
| Telephone system: | domestic: multiple providers in the mobile-cellular segment of the market fostering a boom in mobile-cellular telephone usage with teledensity reaching 90 per 100 persons; fixed-line subscriptions stand at less than 1 per 100 persons (2018) |
| Telephone system: | international: country code - 254; landing point for the EASSy, TEAMS, LION2, DARE1, PEACE Cable, and SEACOM fiber-optic submarine cable systems covering East, NorthÂ and South Africa, Europe, the Middle East, and Asia; satellite earth stations - 4 Intelsat; launched first micro satellites (2019) |
| Broadcast media: | about a half-dozen large-scale privately owned media companies with TV and radio stations, as well as a state-owned TV broadcaster, provide service nationwide; satellite and cable TV subscription services available; state-owned radio broadcaster operates 2 national radio channels and provides regional and local radio services in multiple languages; many private radio stations broadcast on a national level along with over 100 private and non-profit regional stations broadcasting in local languages; TV transmissions of all major international broadcasters available, mostly via paid subscriptions; direct radio frequency modulation transmissions available for several foreign government-owned broadcasters (2019) |
| Internet country code: | .ke |
| Internet users: | total: 12,165,597 |
| Internet users: | percent of population: 26% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 288,303 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
