| Communications | Kyrgyzstan |
| --- | --- |
| Telephones - main lines in use: | 482,100 (2007) |
| Telephones - mobile cellular: | 2.152 million (2007) |
| Telephone system: | general assessment: telecommunications infrastructure is growing; fixed line penetration remains low and concentrated in urban areas |
| Telephone system: | domestic: multiple mobile cellular service providers with growing coverage; mobile cellular subscribership reached 40 per 100 persons in 2007 |
| Telephone system: | international: country code - 996; connections with other CIS countries by landline or microwave radio relay and with other countries by leased connections with Moscow international gateway switch and by satellite; satellite earth stations - 2 (1 Intersputnik, 1 Intelsat); connected internationally by the Trans-Asia-Europe (TAE) fiber-optic line (2007) |
| Radio broadcast stations: | AM 3 (plus 10 repeater stations), FM 23, shortwave NA (2007) |
| Radios: | 520,000 (1997) |
| Television broadcast stations: | 8 (2 countrywide and 6 regional stations; state-owned); note - there are about 20 private TV stations, most of which rebroadcast other channels (2007) |
| Televisions: | 210,000 (1997) |
| Internet country code: | .kg |
| Internet hosts: | 56,905 (2008) |
| Internet Service Providers (ISPs): | NA |
| Internet users: | 750,000 (2007) |
