| Communications | Turks and Caicos Islands |
| --- | --- |
| Telephones - main lines in use: | 3,700 (2009) |
| Telephones - mobile cellular: | 25,100 (2004) |
| Telephone system: | general assessment: fully digital system with international direct dialing |
| Telephone system: | domestic: full range of services available; GSM wireless service available |
| Telephone system: | international: country code - 1-649; the Americas Region Caribbean Ring System (ARCOS-1) fiber optic telecommunications submarine cable provides connectivity to South and Central America, parts of the Caribbean, and the US; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Broadcast media: | while there are no local terrestrial TV stations, broadcasts from the Bahamas can be received; multi-channel cable and satellite TV services are available; government-run radio network operates alongside private broadcasters with a total of about 15 stations broadcasting (2007) |
| Internet country code: | .tc |
| Internet hosts: | 8,969 (2010) |
