| Communications | Aruba |
| --- | --- |
| Telephones - main lines in use: | 43,000 (2012) |
| Telephones - mobile cellular: | 135,000 (2012) |
| Telephone system: | general assessment: modern fully automatic telecommunications system |
| Telephone system: | domestic: increased competition through privatization; 3 mobile-cellular service providers are now licensed |
| Telephone system: | international: country code - 297; landing site for the PAN-AM submarine telecommunications cable system that extends from the US Virgin Islands through Aruba to Venezuela, Colombia, Panama, and the west coast of South America; extensive interisland microwave radio relay links (2007) |
| Broadcast media: | 2 commercial TV stations; cable TV subscription service provides access to foreign channels; about 20 commercial radio stations broadcast (2007) |
| Internet country code: | .aw |
| Internet hosts: | 40,560 (2012) |
| Internet users: | 24,000 (2009) |
