| Communications | SWITZERLAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.029 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 49 (July 2016 est.) |
| Telephones - mobile cellular: | total: 11,283,400 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 138 (July 2016 est.) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure with excellent domestic and international services |
| Telephone system: | domestic: ranked among leading countries for fixed-line teledensity and infrastructure; mobile-cellular subscribership roughly 140 per 100 persons; extensive cable and microwave radio relay networks |
| Telephone system: | international: country code - 41; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean) (2016) |
| Broadcast media: | the publicly owned radio and TV broadcaster, Swiss Broadcasting Corporation (SRG/SSR), operates 7 national TV networks, 3 broadcasting in German, 2 in Italian, and 2 in French; private commercial TV stations broadcast regionally and locally; TV broadcasts from stations in Germany, Italy, and France are widely available via multi-channel cable and satellite TV services; SRG/SSR operates 17 radio stations that, along with private broadcasters, provide national to local coverage (2015) |
| Internet country code: | .ch |
| Internet users: | total: 7,312,744 |
| Internet users: | percent of population: 89.4% (July 2016 est.) |
