| Communications | KAZAKHSTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,931,100 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telephones - mobile cellular: | total: 25.395 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 138 (July 2016 est.) |
| Telephone system: | general assessment: inherited an outdated telecommunications network from the Soviet era requiring modernization |
| Telephone system: | domestic: intercity by landline and microwave radio relay; number of fixed-line connections is inadequate; mobile-cellular usage increased rapidly and the subscriber base approaches 140 per 100 persons |
| Telephone system: | international: country code - 7; international traffic with other former Soviet republics and China carried by landline and microwave radio relay and with other countries by satellite and by the Trans-Asia-Europe (TAE) fiber-optic cable; satellite earth stations - 2 Intelsat (2017) |
| Broadcast media: | state owns nearly all radio and TV transmission facilities and operates national TV and radio networks; there are 3 TV channels: Kazakhstan, KAZsport, Balapan; and 4 radio stations: Kazakh Radiosy, Shalkar, Astana, and Classic; some former state-owned media outlets have been privatized; households with satellite dishes have access to foreign media; a small number of commercial radio stations operate along with state-run radio stations; recent legislation requires all media outlets to register with the government and all TV providers to broadcast in digital format by 2018; broadcasts reach 98.63% of the population as well as neighboring countries (2017) |
| Internet country code: | .kz |
| Internet users: | total: 14,100,751 |
| Internet users: | percent of population: 76.8% (July 2016 est.) |
