| Communications | MALAYSIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.41 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 15 (2014 est.) |
| Telephones - mobile cellular: | total: 44.9 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 149 (2014 est.) |
| Telephone system: | general assessment: modern system featuring good intercity service on Peninsular Malaysia provided mainly by microwave radio relay and an adequate intercity microwave radio relay network between Sabah and Sarawak via Brunei; international service excellent |
| Telephone system: | domestic: domestic satellite system with 2 earth stations; combined fixed-line and mobile-cellular teledensity roughly 140 per 100 persons |
| Telephone system: | international: country code - 60; landing point for several major international submarine cable networks that provide connectivity to Asia, Middle East, and Europe; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Pacific Ocean) (2011) |
| Broadcast media: | state-owned TV broadcaster operates 2 TV networks with relays throughout the country, and the leading private commercial media group operates 4 TV stations with numerous relays throughout the country; satellite TV subscription service is available; state-owned radio broadcaster operates multiple national networks, as well as regional and local stations; many private commercial radio broadcasters and some subscription satellite radio services are available; about 55 radio stations overall (2012) |
| Radio broadcast stations: | AM 35, FM 391, shortwave 15 (2001) |
| Television broadcast stations: | 88 (mainland Malaysia 51, Sabah 16, and Sarawak 21) (2006) |
| Internet country code: | .my |
| Internet users: | total: 12.1 million |
| Internet users: | percent of population: 40.3% (2014 est.) |
