| Communications | Uzbekistan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,444,330 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 24,265,460 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 82 (2017 est.) |
| Telephone system: | general assessment: digital exchanges in large cities and in rural areas; increased investment in infrastructure and growing subscriber base; fixed-line is underdeveloped due to preeminence of mobile market; growth in broadband penetration in the future; Wi-Fi hotspot in the city of Tashkent in the future (2018) |
| Telephone system: | domestic: fixed-line 12 per 100 person and mobile-cellular 82 per 100; the state-owned telecommunications company, Uzbek Telecom, owner of the fixed-line telecommunications system, has used loans from the Japanese government and the China Development Bank to upgrade fixed-line services including conversion to digital exchanges; mobile-cellular services are provided byÂ 2 private andÂ 3 state-owned operators with a total subscriber base of 22.8 million as of January 2018 (2018) |
| Telephone system: | international: country code - 998; linked by fiber-optic cable or microwave radio relay with CIS member states and to other countries by leased connection via the Moscow international gateway switch; the country also has a link to the Trans-Asia-Europe (TAE) fiber-optic cable; Uzbekistan has supported the national fiber- optic backbone project of Afghanistan since 2008 |
| Broadcast media: | the government controls media; 17 state-owned broadcasters - 13 TV and 4 radio - provide service to virtually the entire country; about 20 privately owned TV stations, overseen by local officials, broadcast to local markets; privately owned TV stations are required to lease transmitters from the government-owned Republic TV and Radio Industry Corporation; in 2019, the Uzbek Agency for Press and Information was reorganized into the Agency of Information and Mass Communications and became part of the Uzbek Presidential Administration with recent appointment of the Uzbek President'sÂ elder daughter as it deputy director (2019) |
| Internet country code: | .uz |
| Internet users: | total: 15,157,210 |
| Internet users: | percent of population: 46.8% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 3,320,210 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 11 (2017 est.) |
