| Communications | Cyprus |
| --- | --- |
| Telephones - main lines in use: | 405,000 (2011) |
| Telephones - mobile cellular: | 1.09 million (2011) |
| Telephone system: | general assessment: excellent in both area under government control and area administered by Turkish Cypriots |
| Telephone system: | domestic: open-wire, fiber-optic cable, and microwave radio relay |
| Telephone system: | international: country code - 357 (area administered by Turkish Cypriots uses the country code of Turkey - 90); a number of submarine cables, including the SEA-ME-WE-3, combine to provide connectivity to Western Europe, the Middle East, and Asia; tropospheric scatter; satellite earth stations - 8 (3 Intelsat - 1 Atlantic Ocean and 2 Indian Ocean, 2 Eutelsat, 2 Intersputnik, and 1 Arabsat) |
| Broadcast media: | mixture of state and privately-run TV and radio services; the public broadcaster operates 2 TV channels and 4 radio stations; 6 private TV broadcasters, satellite and cable TV services including telecasts from Greece and Turkey, and a number of private radio stations are available; in areas administered by Turkish Cypriots, there are 2 public TV stations, 4 public radio stations, and privately-owned TV and radio broadcast stations (2007) |
| Internet country code: | .cy |
| Internet hosts: | 252,013 (2012) |
| Internet users: | 433,900 (2009) |
