| Communications | CYPRUS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 320,573 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 27 (July 2016 est.) |
| Telephones - mobile cellular: | total: 1,133,780 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 94 (July 2016 est.) |
| Telephone system: | general assessment: excellent in both area under government control and area administered by Turkish Cypriots |
| Telephone system: | domestic: open-wire, fiber-optic cable, and microwave radio relay |
| Telephone system: | international: country code - 357 (area administered by Turkish Cypriots uses the country code of Turkey - 90); a number of submarine cables, including the SEA-ME-WE-3, combine to provide connectivity to Western Europe, the Middle East, and Asia; tropospheric scatter; satellite earth stations - 8 (3 Intelsat - 1 Atlantic Ocean and 2 Indian Ocean, 2 Eutelsat, 2 Intersputnik, and 1 Arabsat) (2015) |
| Broadcast media: | mixture of state and privately run TV and radio services; the public broadcaster operates 2 TV channels and 4 radio stations; 6 private TV broadcasters, satellite and cable TV services including telecasts from Greece and Turkey, and a number of private radio stations are available; in areas administered by Turkish Cypriots, there are 2 public TV stations, 4 public radio stations, and 7 privately owned TV and 21 radio broadcast stations plus 6 radio and 4 TV channels of local universities, plus 1 radio station of military, security forces and 1 radio station of civil defense cooperation, as well as relay stations from Turkey (2017) |
| Internet country code: | .cy |
| Internet users: | total: 915,036 |
| Internet users: | percent of population: 75.9% (July 2016 est.) |
