| Communications | West Bank |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 472,293 (includes Gaza Strip) (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 9 (includes Gaza Strip) (2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,135,363 (includes Gaza Strip) (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 76 (includes Gaza Strip) (2017 est.) |
| Telecommunication systems: | general assessment: continuing political and economic instability has impeded liberalization of the telecommunications industry (2018) |
| Telecommunication systems: | domestic: Israeli company BEZEK and the Palestinian company PALTEL are responsible for fixed-line services; two Palestinian cellular providers, JAWWAL and WATANIYA MOBILE, launched 3G mobile networks in the West Bank in January 2018 after Israel lifted its ban; fixed-line 9 per 100 and mobile-cellular 76 per 100 (includes Gaza Strip) (2019) |
| Telecommunication systems: | international: country code 970 or 972; 1 international switch in Ramallah |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the Palestinian Authority operates 1 TV and 1 radio station; about 20 private TV and 40 radio stations; both Jordanian TV and satellite TV are accessible |
| Internet country code: | .psnote - same as Gaza Strip |
| Internet users: | total: 2.673 million (includes Gaza Strip) |
| Internet users: | percent of population: 57.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 371,299 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 14 (2017 est.) |
| Broadband - fixed subscriptions: | note: includes Gaza Strip |
