| Communications | Trinidad and Tobago |
| --- | --- |
| Telephones - main lines in use: | 292,000 (2011) |
| Telephones - mobile cellular: | 1.825 million (2011) |
| Telephone system: | general assessment: excellent international service; good local service |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity roughly 170 telephones per 100 persons |
| Telephone system: | international: country code - 1-868; submarine cable systems provide connectivity to US and parts of the Caribbean and South America; satellite earth station - 1 Intelsat (Atlantic Ocean); tropospheric scatter to Barbados and Guyana |
| Broadcast media: | 5 TV networks, one of which is state-owned, broadcast on multiple stations; multiple cable TV subscription service providers; multiple radio networks, one state-owned, broadcast over about 35 stations (2007) |
| Internet country code: | .tt |
| Internet hosts: | 241,690 (2012) |
| Internet users: | 593,000 (2009) |
