| Communications | Indonesia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 9,272,754 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3.5 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 337,766,682 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 127.49 (2019 est.) |
| Telecommunication systems: | general assessment: international service good; Indonesia has very low fixed line and fixed broadband penetration, high mobile penetration and moderate mobile broadband penetration; 4G mobile services are relatively advanced, 7 operators compete for revenue in the Indonesian market; Chinese company Huawei working on the development of 5G technology in the country; mobile broadband market still in early stages of development; data center market has experienced significant growth; Kacific-1 satellite launched in 2019 to significantly improve telecommunications (2020) |
| Telecommunication systems: | domestic: fixed-line 4 per 100 and mobile-cellular 127 per 100 persons; coverage provided by existing network has been expanded by use of over 200,000 telephone kiosks many located in remote areas; mobile-cellular subscribership growing rapidly (2019) |
| Telecommunication systems: | international: country code - 62; landing points for the SEA-ME-WE-3 & 5, DAMAI, JASUKA,Â BDM,Â Dumai-Melaka Cable System, IGG, JIBA,Â Link 1, 3, 4, Â & 5, PGASCOM, B3J2, Tanjung Pandam-Sungai Kakap Cable System, JAKABARE, JAYABAYA, INDIGO-West, MatrixÂ Cable System, ASC, SJJK, Jaka2LaDeMa, S-U-B Cable System, JBCS, MKCS, BALOK, Palapa Ring East, WestÂ and Middle, SMPCS Packet-1 and 2, LTCS, TSCS, SEA-US and Kamal Domestic Submarine Cable System, 35Â submarine cable networks that provide links throughout Asia, the Middle East,Â Australia, Southeast Asia, AfricaÂ and Europe; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | mixture of about a dozen national TV networks -Â 1 public broadcaster, the remainder private broadcasters - each with multiple transmitters; more than 100 local TV stations; widespread use of satellite and cable TV systems; public radio broadcaster operates 6 national networks, as well as regional and local stations; overall, more than 700 radio stations with more than 650 privately operated (2019) |
| Internet country code: | .id |
| Internet users: | total: 104,563,108 |
| Internet users: | percent of population: 39.79% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 8,874,116 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2018 est.) |
