| Communications | Virgin Islands |
| --- | --- |
| Telephones - main lines in use: | 75,800 (2010) |
| Telephones - mobile cellular: | 80,300 (2005) |
| Telephone system: | general assessment: modern system with total digital switching, uses fiber-optic cable and microwave radio relay |
| Telephone system: | domestic: full range of services available |
| Telephone system: | international: country code - 1-340; submarine cable connections to US, the Caribbean, Central and South America; satellite earth stations - NA |
| Broadcast media: | about a dozen TV broadcast stations including 1 public TV station; multi-channel cable and satellite TV services are available; 24 radio stations (2009) |
| Internet country code: | .vi |
| Internet hosts: | 4,790 (2012) |
| Internet users: | 30,000 (2009) |
