| Communications | Cambodia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 132,911 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 18,572,973 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 115 (2017 est.) |
| Telephone system: | general assessment: adequate fixed-line and/or cellular service in Phnom Penh and other provincial cities; mobile-cellular phone systems are widely used in urban areas to bypass deficiencies in the fixed-line network; mobile-phone coverage is rapidlyÂ spreading in rural areas; about 50% of Cambodians own at least one smart phone; in 2018 the MPTC began a free Wi-Fi service for visitors and residents of Phnom Penh, in selected parks around the city customers can access free Wi-Fi services (2018) |
| Telephone system: | domestic: fixed-line connections stand at about 1 per 100 persons and declining; mobile-cellular usage, aided by competition among service providers, has increased to about 115 per 100 persons; in 2021 Cambodia hopes to launch it first communications satellite into orbit; fixed broadband penetration is predicted to reach over 2% by 2023 (2018) |
| Telephone system: | international: country code - 855; landing points for MCT and AAE-1 via submarine cables supping communication to Asia, the Middle East, Europe and Africa; adequate but expensive landline and cellular service available to all countries from Phnom Penh and major provincial cities; satellite earth station - 1 Intersputnik (Indian Ocean region) (2019) |
| Broadcast media: | mixture of state-owned, joint public-private, and privately owned broadcast media;Â 27 TV broadcast stations with most operating on multiple channels, including 1 state-operated station broadcasting from multiple locations, 11 stations either jointly operated or privately owned with some broadcasting from several locations; multi-channel cable and satellite systems are available (2019);Â 84 radio broadcast stations - 1 state-owned broadcaster with multiple stations and a large mixture of public and private broadcasters;Â one international broadcaster isÂ available (2019) as well as one Chinese joint venture television station with the Ministry of Interior; several television and radio operators broadcast online only (often via Facebook) (2019) |
| Internet country code: | .kh |
| Internet users: | total: 4,080,372 |
| Internet users: | percent of population: 25.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 129,650 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
