| Communications | Cambodia |
| --- | --- |
| Telephones - main lines in use: | 45,100 (2008) |
| Telephones - mobile cellular: | 4.237 million (2008) |
| Telephone system: | general assessment: mobile-phone systems are widely used in urban areas to bypass deficiencies in the fixed-line network; fixed-line connections stand at well less than 1 per 100 persons; mobile-cellular usage, aided by increasing competition among service providers, is increasing and stands at 30 per 100 persons |
| Telephone system: | domestic: adequate landline and/or cellular service in Phnom Penh and other provincial cities; mobile-phone coverage is rapidly expanding in rural areas |
| Telephone system: | international: country code - 855; adequate but expensive landline and cellular service available to all countries from Phnom Penh and major provincial cities; satellite earth station - 1 Intersputnik (Indian Ocean region) (2008) |
| Radio broadcast stations: | AM 1, FM 50, shortwave NA (2008) |
| Television broadcast stations: | 8 (including 2 TV relay stations with French and Vietnamese broadcasts); excludes 18 regional relay stations (2008) |
| Internet country code: | .kh |
| Internet hosts: | 2,480 (2009) |
| Internet users: | 74,000 (2008) |
