| Communications | Panama |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 603,638 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 16 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,977,641 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 159 (2017 est.) |
| Telephone system: | general assessment: domestic and international facilities well-developed; investment from international operators; competion among operators helps reduce price of services; launches LTE services; (2018) |
| Telephone system: | domestic: fixed-line 16 per 100 and mobile-cellular telephone 159 per 100 and subscribership has increased rapidly (2018) |
| Telephone system: | international: country code - 507; landing points for theÂ PAN-AM, ARCOS, SAC, AURORA,Â PCCS, PAC, and the MAYA-1,Â  submarine cable systems that together provide links to the US and parts of the Caribbean, Central America, and South America; satellite earth stations - 2 Intelsat (Atlantic Ocean); connected to the Central American Microwave System (2019) |
| Broadcast media: | multiple privately owned TV networks and a government-owned educational TV station; multi-channel cable and satellite TV subscription services are available; more than 100 commercial radio stations (2019) |
| Internet country code: | .pa |
| Internet users: | total: 2,000,833 |
| Internet users: | percent of population: 54% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 446,076 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 12 (2017 est.) |
