| Communications | Senegal |
| --- | --- |
| Telephones - main lines in use: | 278,800 (2009) |
| Telephones - mobile cellular: | 6.902 million (2009) |
| Telephone system: | general assessment: good system with microwave radio relay, coaxial cable and fiber-optic cable in trunk system |
| Telephone system: | domestic: above-average urban system with a fiber-optic network; nearly two-thirds of all fixed-line connections are in Dakar where a call-center industry is emerging; expansion of fixed-line services in rural areas needed; mobile-cellular service is expanding rapidly |
| Telephone system: | international: country code - 221; the SAT-3/WASC fiber optic cable provides connectivity to Europe and Asia while Atlantis-2 provides connectivity to South America; satellite earth station - 1 Intelsat (Atlantic Ocean) (2007) |
| Broadcast media: | state-run Radiodiffusion Television Senegalaise (RTS) operates 2 TV stations; a few private TV subscription channels rebroadcast foreign channels without providing any local news or programs; RTS operates a national radio network and a number of regional FM stations; a large number of community and private-broadcast radio stations are available; transmissions of at least 2 international broadcasters are accessible on FM in Dakar (2007) |
| Internet country code: | .sn |
| Internet hosts: | 241 (2010) |
| Internet users: | 1.818 million (2009) |
