| Communications | MAURITIUS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 385,500 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 29 (July 2016 est.) |
| Telephones - mobile cellular: | total: 1.814 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 135 (July 2016 est.) |
| Telephone system: | general assessment: small system with good service |
| Telephone system: | domestic: monopoly over fixed-line services terminated in 2005; fixed-line teledensity roughly 30 per 100 persons; mobile-cellular services launched in 1989 with teledensity approaching 135 per 100 persons in 2016 |
| Telephone system: | international: country code - 230; landing point for the SAFE submarine cable that provides links to Asia and South Africa where it connects to the SAT-3/WASC submarine cable that provides further links to parts of East Africa, and Europe; satellite earth station - 1 Intelsat (Indian Ocean); new microwave link to Reunion; HF radiotelephone links to several countries (2016) |
| Broadcast media: | the government maintains control over TV broadcasting through the Mauritius Broadcasting Corporation (MBC), which only operates digital TV stations since June 2015; MBC is a shareholder in a local company that operates 2 pay-TV stations; the state retains the largest radio broadcast network with multiple stations; several private radio broadcasters have entered the market since 2001; transmissions of at least 2 international broadcasters are available (2017) |
| Internet country code: | .mu |
| Internet users: | total: 717,618 |
| Internet users: | percent of population: 53.2% (July 2016 est.) |
