| Communications | Mauritius |
| --- | --- |
| Telephones - main lines in use: | 374,600 (2011) |
| Telephones - mobile cellular: | 1.294 million (2011) |
| Telephone system: | general assessment: small system with good service |
| Telephone system: | domestic: monopoly over fixed-line services terminated in 2005; fixed-line teledensity roughly 30 per 100 persons; mobile-cellular services launched in 1989 with current teledensity roughly 100 per 100 persons |
| Telephone system: | international: country code - 230; landing point for the SAFE submarine cable that provides links to Asia and South Africa where it connects to the SAT-3/WASC submarine cable that provides further links to parts of East Africa, and Europe; satellite earth station - 1 Intelsat (Indian Ocean); new microwave link to Reunion; HF radiotelephone links to several countries |
| Broadcast media: | the government maintains control over TV broadcasting through the Mauritius Broadcasting Corporation (MBC), which operates 3 analog and 10 digital TV stations; MBC is a shareholder in a local company that operates 2 pay-TV stations; the state retains the largest radio broadcast network with multiple stations; several private radio broadcasters have entered the market since 2001; transmissions of at least 2 international broadcasters are available (2007) |
| Internet country code: | .mu |
| Internet hosts: | 51,139 (2012) |
| Internet users: | 290,000 (2009) |
