| Communications | Sri Lanka |
| --- | --- |
| Telephones - main lines in use: | 2.796 million (2013) |
| Telephones - mobile cellular: | 19.533 million (2013) |
| Telephone system: | general assessment: telephone services have improved significantly and are available in most parts of the country |
| Telephone system: | domestic: national trunk network consists mostly of digital microwave radio relay; fiber-optic links now in use in Colombo area and fixed wireless local loops have been installed; competition is strong in mobile cellular systems and mobile cellular subscribership is increasing |
| Telephone system: | international: country code - 94; the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cables provide connectivity to Asia, Australia, Middle East, Europe, US; satellite earth stations - 2 Intelsat (Indian Ocean) (2011) |
| Broadcast media: | government operates 8 TV channels and a radio network; multi-channel satellite and cable TV subscription services available; 35 private TV stations and about 50 radio stations (2012) |
| Internet country code: | .lk |
| Internet hosts: | 9,552 (2012) |
| Internet users: | 1.777 million (2009) |
