| Communications | Sierra Leone |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,279,270 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 102 (July 2016 est.) |
| Telephone system: | general assessment: telephone service improving with the expansion of the mobile sector; the national microwave radio relay trunk system connects Freetown to Bo and Kenema; mobile-cellular service has grown rapidly from a small base, overcoming the deficiencies of the fixed-line sector; mobile sector high penetration; investments in upgrades to LTE (2018) |
| Telephone system: | domestic: fixed-line less than 1 per 100 and mobile-cellular 102 per 100 (2018) |
| Telephone system: | international: country code - 232; landing point for the ACE submarine cable linking South Africa, over 20 western African countries and Europe; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | 1Â government-owned TV station;Â 3 private TV stations; a pay-TV service began operations in late 2007;Â 1 government-owned national radio station; about two-dozen private radio stations primarily clustered in major cities; transmissions of several international broadcasters are availableÂ  |
| Broadcast media: | (2019) |
| Internet country code: | .sl |
| Internet users: | total: 708,615 |
| Internet users: | percent of population: 11.8% (July 2016 est.) |
