| Communications | Jersey |
| --- | --- |
| Telephones - main lines in use: | 73,800 (2010) |
| Telephones - mobile cellular: | 108,000 (2010) |
| Telephone system: | general assessment: increasingly modern system, with broadband access |
| Telephone system: | domestic: digital telephone system launch announced in 2006 now implemented; fixed-line and mobile-cellular services widely available; combined fixed and mobile-cellular density exceeds 100 per 100 persons |
| Telephone system: | international: country code - 44; submarine cable connectivity to Guernsey, the UK, and France (2010) |
| Broadcast media: | multiple UK terrestrial television broadcasts are received via a transmitter in Jersey; satellite packages available; BBC Radio Jersey and 1 other radio station operating (2009) |
| Internet country code: | .je |
| Internet hosts: | 264 (2012) |
| Internet users: | 29,500 (2009) |
