| Communications | Italy |
| --- | --- |
| Telephones - main lines in use: | 21.656 million (2012) |
| Telephones - mobile cellular: | 97.225 million (2012) |
| Telephone system: | general assessment: modern, well-developed, fast; fully automated telephone, telex, and data services |
| Telephone system: | domestic: high-capacity cable and microwave radio relay trunks |
| Telephone system: | international: country code - 39; a series of submarine cables provide links to Asia, Middle East, Europe, North Africa, and US; satellite earth stations - 3 Intelsat (with a total of 5 antennas - 3 for Atlantic Ocean and 2 for Indian Ocean), 1 Inmarsat (Atlantic Ocean region), and NA Eutelsat (2011) |
| Broadcast media: | two Italian media giants dominate - the publicly owned Radiotelevisione Italiana (RAI) with 3 national terrestrial stations and privately owned Mediaset with 3 national terrestrial stations; a large number of private stations and Sky Italia - a satellite TV network; RAI operates 3 AM/FM nationwide radio stations; some 1,300 commercial radio stations (2007) |
| Internet country code: | .it |
| Internet hosts: | 25.662 million (2012) |
| Internet users: | 29.235 million (2009) |
