| Communications | Sudan |
| --- | --- |
| Telephones - main lines in use: | 370,400 (2009) |
| Telephones - mobile cellular: | 15.34 million (2009) |
| Telephone system: | general assessment: well-equipped system by regional standards and being upgraded; cellular communications started in 1996 and have expanded substantially with wide coverage of most major cities |
| Telephone system: | domestic: consists of microwave radio relay, cable, fiber optic, radiotelephone communications, tropospheric scatter, and a domestic satellite system with 14 earth stations |
| Telephone system: | international: country code - 249; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Arabsat (2000) |
| Broadcast media: | in the north, the Sudanese Government directly controls TV and radio, requiring that both media reflect government policies; TV has a permanent military censor; a private radio station is in operation; in southern Sudan, TV is controlled by the regional government; several private FM stations are operational in southern Sudan; some foreign radio broadcasts are available (2007) |
| Internet country code: | .sd |
| Internet hosts: | 70 (2010) |
| Internet users: | 4.2 million (2008) |
