| Communications | Laos |
| --- | --- |
| Telephones - main lines in use: | 97,600 (2008) |
| Telephones - mobile cellular: | 1.822 million (2008) |
| Telephone system: | general assessment: service to general public is poor but improving; the government relies on a radiotelephone network to communicate with remote areas |
| Telephone system: | domestic: multiple service providers; mobile cellular usage growing rapidly; combined fixed-line and mobile-cellular subscribership approaching 30 per 100 persons |
| Telephone system: | international: country code - 856; satellite earth station - 1 Intersputnik (Indian Ocean region) (2008) |
| Radio broadcast stations: | AM 7, FM 14, shortwave 2 (2006) |
| Television broadcast stations: | 7 (includes 1 station relaying Vietnam Television from Hanoi) (2006) |
| Internet country code: | .la |
| Internet hosts: | 1,661 (2009) |
| Internet users: | 130,000 (2008) |
