| Communications | Brunei |
| --- | --- |
| Telephones - main lines in use: | 76,600 (2008) |
| Telephones - mobile cellular: | 376,000 (2008) |
| Telephone system: | general assessment: service throughout the country is excellent; international service is good to Southeast Asia, Middle East, Western Europe, and the US |
| Telephone system: | domestic: every service available |
| Telephone system: | international: country code - 673; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Asia, the Middle East, and Europe; the Asia-America Gateway submarine cable network, scheduled for completion by late 2008, will provide new links to Asia and the US; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2007) |
| Radio broadcast stations: | AM 1, FM 2 (transmitting on 18 different frequencies), shortwave 0 (British Forces Broadcasting Service (BFBS) station transmits two FM signals with English and Nepali service) (2006) |
| Television broadcast stations: | 4 (includes 2 UHF stations broadcasting a subscription service) (2006) |
| Internet country code: | .bn |
| Internet hosts: | 14,978 (2009) |
| Internet users: | 217,000 (2008) |
