| Communications | BERMUDA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 29,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (July 2016 est.) |
| Telephones - mobile cellular: | total: 59,500 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 85 (July 2016 est.) |
| Telephone system: | general assessment: a good, fully automatic digital telephone system with fiber-optic trunk lines |
| Telephone system: | domestic: the system has a high fixed-line teledensity coupled with a mobile-cellular teledensity of roughly 125 per 100 persons |
| Telephone system: | international: country code - 1-441; landing points for the GlobeNet, Gemini Bermuda, CBUS, and the Challenger Bermuda-1 (CB-1) submarine cables; satellite earth stations - 3 (2015) |
| Broadcast media: | 3 TV stations; cable and satellite TV subscription services are available; roughly 13 radio stations operating (2012) |
| Internet country code: | .bm |
| Internet users: | total: 69,126 |
| Internet users: | percent of population: 98.0% (July 2016 est.) |
