| Communications | Syria |
| --- | --- |
| Telephones - main lines in use: | 3.633 million (2008) |
| Telephones - mobile cellular: | 7.056 million (2008) |
| Telephone system: | general assessment: fair system currently undergoing significant improvement and digital upgrades, including fiber-optic technology |
| Telephone system: | domestic: the number of fixed-line connections has increased markedly since 2000; mobile-cellular service growing with telephone subscribership reaching 40 per 100 persons in 2008; |
| Telephone system: | international: country code - 963; submarine cable connection to Egypt, Lebanon, and Cyprus; satellite earth stations - 1 Intelsat (Indian Ocean) and 1 Intersputnik (Atlantic Ocean region); coaxial cable and microwave radio relay to Iraq, Jordan, Lebanon, and Turkey; participant in Medarabtel |
| Radio broadcast stations: | AM 14, FM 2, shortwave 1 (1998) |
| Television broadcast stations: | 44 (plus 17 repeaters) (1995) |
| Internet country code: | .sy |
| Internet hosts: | 7,879 (2009) |
| Internet users: | 3.565 million (2008) |
