| Communications | Canada |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 14,700,854 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 41 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 31,458,600 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 88 (2017 est.) |
| Telephone system: | general assessment: excellent service provided by modern technology; consumer demand for mobile data services have promted telecos to invest and pomote LTE infrastructure,Â and further investment in 5G; government policy hasÂ aidedÂ the extension of broadband to rural and regional areas, with the result that services are almost universally accessible (2017) |
| Telephone system: | domestic: comparatively low mobile penetration provides further room for growth; domestic satellite system with about 300 earth stations; 41 per 100 fixed-line; 88 per 100 mobile-cellular (2017) |
| Telephone system: | international: country code - 1; submarine cables provide links to the US and Europe; satellite earth stations - 7 (5 Intelsat - 4 Atlantic Ocean and 1 Pacific Ocean, and 2 Intersputnik - Atlantic Ocean region) (2016) |
| Broadcast media: | 2 public TV broadcasting networks, 1 in English and 1 in French, each with a large number of network affiliates; several private-commercial networks also with multiple network affiliates; overall, about 150 TV stations; multi-channel satellite and cable systems provide access to a wide range of stations including US stations; mix of public and commercial radio broadcasters with the Canadian Broadcasting Corporation (CBC), the public radio broadcaster, operating 4 radio networks, Radio Canada International, and radio services to indigenous populations in the north; roughly 1,119 licensed radio stations (2016) |
| Internet country code: | .ca |
| Internet users: | total: 31,770,034 (July 2016 est.) |
| Internet users: | percent of population: 89.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 13,922,504 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 39 (2017 est.) |
