| Communications | Greece |
| --- | --- |
| Telephones - main lines in use: | 5.461 million (2012) |
| Telephones - mobile cellular: | 13.354 million (2012) |
| Telephone system: | general assessment: adequate, modern networks reach all areas; good mobile telephone and international service |
| Telephone system: | domestic: microwave radio relay trunk system; extensive open-wire connections; submarine cable to offshore islands |
| Telephone system: | international: country code - 30; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Europe, Middle East, and Asia; a number of smaller submarine cables provide connectivity to various parts of Europe, the Middle East, and Cyprus; tropospheric scatter; satellite earth stations - 4 (2 Intelsat - 1 Atlantic Ocean and 1 Indian Ocean, 1 Eutelsat, and 1 Inmarsat - Indian Ocean region) |
| Broadcast media: | Broadcast media dominated by the private sector; roughly 150 private TV channels, about ten of which broadcast nation-wide; 1 government owned terrestrial TV channel with national coverage; 3 privately owned satellite channels; multi-channel satellite and cable TV services available; upwards of 1,500 radio stations, all of them privately owned; government owned broadcaster has 2 national radio stations (2014) |
| Internet country code: | .gr |
| Internet hosts: | 3.201 million (2012) |
| Internet users: | 4.971 million (2009) |
