| Communications | Greece |
| --- | --- |
| Telephones - main lines in use: | 5.431 million (1997) |
| Telephones - mobile cellular: | 937,700 (1997) |
| Telephone system: | general assessment: adequate, modern networks reach all areas; good mobile telephone and international service |
| Telephone system: | domestic: microwave radio relay trunk system; extensive open wire connections; submarine cable to offshore islands |
| Telephone system: | international: tropospheric scatter; 8 submarine cables; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), 1 Eutelsat, and 1 Inmarsat (Indian Ocean region) |
| Radio broadcast stations: | AM 26, FM 88, shortwave 4 (1998) |
| Radios: | 5.02 million (1997) |
| Television broadcast stations: | 36 (plus 1,341 low-power repeaters); also two stations in the US Armed Forces Radio and Television Service (1995) |
| Televisions: | 2.54 million (1997) |
| Internet country code: | .gr |
| Internet Service Providers (ISPs): | 27 (2000) |
| Internet users: | 1.4 million (2002) |
