| Communications | Greece |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,080,386 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 47.75 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 12,070,571 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113.45 (2019 est.) |
| Telecommunication systems: | general assessment: good mobile telephone and international services; 3 mobile network operators; broadband penetration developing steadily despiteÂ rough economic conditions; plans to repurpose 3G network for LTE and 5G by 2022 (2020) |
| Telecommunication systems: | domestic: microwave radio relay trunk system; extensive open-wire connections; submarine cable to offshore islands; 48 per 100 for fixed-line and 114 per 100 for mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 30; landing points for the SEA-ME-WE-3, Adria-1, Italy-Greece 1, OTEGLOBE, MedNautilus Submarine System, Aphrodite 2, AAE-1Â and Silphium optical telecommunications submarine cable that provides links to Europe, the Middle East, Africa, Southeast Asia, Asia and Australia;Â  tropospheric scatter; satellite earth stations - 4 (2 Intelsat - 1 Atlantic Ocean and 1 Indian Ocean, 1 Eutelsat, and 1 Inmarsat - Indian Ocean region) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | broadcast media dominated by the private sector; roughly 150 private TV channels, about 10 of which broadcast nationwide; 1 government-owned terrestrial TV channel with national coverage; 3 privately owned satellite channels; multi-channel satellite and cable TV services available; upwards of 1,500 radio stations, all of them privately owned; government-owned broadcaster has 2 national radio stations |
| Internet country code: | .gr |
| Internet users: | total: 7,783,381 |
| Internet users: | percent of population: 72.95% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 3,961,864 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 37 (2018 est.) |
