| Communications | Greenland |
| --- | --- |
| Telephones - main lines in use: | 22,800 (2008) |
| Telephones - mobile cellular: | 55,800 (2008) |
| Telephone system: | general assessment: adequate domestic and international service provided by satellite, cables and microwave radio relay; totally digitalized in 1995 |
| Telephone system: | domestic: microwave radio relay and satellite |
| Telephone system: | international: country code - 299; satellite earth stations - 15 (12 Intelsat, 1 Eutelsat, 2 Americom GE-2 (all Atlantic Ocean)) (2000) |
| Radio broadcast stations: | AM 5, FM 14, shortwave 0 (2008) |
| Television broadcast stations: | 1 (plus some local low-power stations, and 3 American Forces Radio and Television Service (AFRTS) stations (1997) |
| Internet country code: | .gl |
| Internet hosts: | 14,134 (2009) |
| Internet users: | 36,000 (2008) |
