| Communications | Antarctica |
| --- | --- |
| Telephones - main lines in use: | 0; note - information for US bases only (2001) |
| Telephone system: | general assessment: local systems at some research stations |
| Telephone system: | domestic: commercial cellular networks operating in a small number of locations |
| Telephone system: | international: country code - none allocated; via satellite (including mobile Inmarsat and Iridium systems) to and from all research stations, ships, aircraft, and most field parties (2007) |
| Radio broadcast stations: | FM 2, shortwave 1 (information for US bases only); note - many research stations have a local FM radio station (2007) |
| Radios: | NA |
| Television broadcast stations: | 1 (cable system with 6 channels; American Forces Antarctic Network-McMurdo - information for US bases only) (2002) |
| Televisions: | several hundred at McMurdo Station (US) |
| Televisions: | note: information for US bases only (2001) |
| Internet country code: | .aq |
| Internet hosts: | 7,748 (2008) |
| Internet Service Providers (ISPs): | NA |
