| Communications | AUSTRIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,567,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 41 (July 2016 est.) |
| Telephones - mobile cellular: | total: 14.27 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 164 (July 2016 est.) |
| Telephone system: | general assessment: highly developed and efficient |
| Telephone system: | domestic: mobile-cellular subscribership is ubiquitous; cable networks are very extensive, the fiber-optic net is being developed; all telephone applications and Internet services are available; broadband is available in all large municipalities |
| Telephone system: | international: country code - 43; earth stations available in the Astra, Intelsat, Eutelsat satellite systems (2016) |
| Broadcast media: | worldwide cable and satellite TV are available; the public incumbent ORF competes with three other major, several regional domestic, and up to 400 international TV stations; TV coverage is in principle 100%, but only 90% use broadcast media; Internet streaming not only complements, but increasingly replaces regular TV stations (2016) |
| Internet country code: | .at |
| Internet users: | total: 7,346,055 |
| Internet users: | percent of population: 84.3% (July 2016 est.) |
