| Communications | Haiti |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,464 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,287,411 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 57.53 (2019 est.) |
| Telecommunication systems: | general assessment: telecommunications infrastructure is among the least-developed in Latin America and the Caribbean; domestic cell service is functional; Hurricane Matthew in 2016 caused $35 million worth of damage to telecoms infrastructure; some expansion of LTE services (2020) |
| Telecommunication systems: | domestic: fixed-line is less than 1 per 100; mobile-cellular telephone services have expanded greatly in the last decade due to low-cost GSM (Global Systems for Mobile) phones and pay-as-you-go plans; mobile-cellular teledensity is 58 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 509; landing points for the BDSNi and Fibralink submarine cables to 14 points in the Bahamas and Dominican Republic; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 98 television stations throughout the country, including 1 government-owned; cable TV subscription service available; 850 radio stations (of them, only 346 are licensed), including 1 government-owned; more than 100 community radio stations; over 64 FM stations in Port-au-Prince alone; VOA Creole Service broadcasts daily on 30 affiliate stations |
| Broadcast media: | (2016) |
| Internet country code: | .ht |
| Internet users: | total: 3,503,006 |
| Internet users: | percent of population: 32.47% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 31,100 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
