| Communications | Brunei |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 91,415 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19.98 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 588,616 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 128.65 (2019 est.) |
| Telecommunication systems: | general assessment: service throughout the country is excellent; international service is good to Southeast Asia, Middle East, Western Europe, and the US; lots of investment given the high GDP per capita; launch of 5G in 2021 anticipated; while fixed-line is slowing down, mobile broadband has taken overÂ in theÂ advancement in the telecoms access market; broadband penetration slow to moderate growth predicted over the next five years to 2023 (2020) |
| Telecommunication systems: | domestic: every service available; 20 per 100 fixed-line, 129 per 100 mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 673; landing points for the SEA-ME-WE-3, SJC, AAG, Lubuan-Brunei Submarine Cable viaÂ optical telecommunications submarine cables that provides links to Asia, the Middle East, Southeast Asia, Africa, Australia, and the US; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-controlled Radio Television Brunei (RTB) operates 5 channels; 3 Malaysian TV stations are available; foreign TV broadcasts are available via satellite systems; RTB operates 5 radio networks and broadcasts on multiple frequencies; British Forces Broadcast Service (BFBS) provides radio broadcasts on 2 FM stations; some radio broadcast stations from Malaysia are available via repeaters |
| Internet country code: | .bn |
| Internet users: | total: 426,234 |
| Internet users: | percent of population: 94.6% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 49,452 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 11 (2018 est.) |
