| Communications | Brunei |
| --- | --- |
| Telephones - main lines in use: | 80,500 (2009) |
| Telephones - mobile cellular: | 425,000 (2009) |
| Telephone system: | general assessment: service throughout the country is good; international service is good to Southeast Asia, Middle East, Western Europe, and the US |
| Telephone system: | domestic: every service available |
| Telephone system: | international: country code - 673; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Asia, the Middle East, and Europe; the Asia-America Gateway submarine cable network, scheduled for completion by late 2008, will provide new links to Asia and the US; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2009) |
| Broadcast media: | state-controlled Radio Television Brunei (RTB) operates 4 channels; 3 Malaysian TV stations are available; foreign TV broadcasts are available via satellite and cable systems; RTB operates 5 radio networks broadcasting on multiple frequencies; British Forces Broadcast Service (BFBS) provides radio broadcasts on 2 FM stations; some radio broadcast stations from Malaysia are available via repeaters (2009) |
| Internet country code: | .bn |
| Internet hosts: | 50,997 (2010) |
| Internet users: | 314,900 (2009) |
