| Communications | Moldova |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,143,852 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 33 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,662,968 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (2017 est.) |
| Telephone system: | general assessment: the mobile market has extended the reach of service to outside the cities and across most of the country (2016) |
| Telephone system: | domestic: competition among mobile telephone providers has spurred subscriptions; little interest in expanding fixed-line service; mobile-cellular teledensity exceeds 105 per 100 persons (2016) |
| Telephone system: | international: country code - 373; service through Romania and Russia via landline; satellite earth stations - at least 3 (Intelsat, Eutelsat, and Intersputnik) (2016) |
| Broadcast media: | state-owned national radio-TV broadcaster operates 1 TV and 1 radio station; a total of nearly 70 terrestrial TV channels and some 50 radio stations are in operation; Russian and Romanian channels also are available (2017) |
| Internet country code: | .md |
| Internet users: | total: 2,492,444 (July 2016 est.) |
| Internet users: | percent of population: 71% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 584,330 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 17 (2017 est.) |
